Woche;endend;Alter;untGrenze;Erwartung;obeGrenze;AnzTF_HR;Exzess
47;22.11.2020;65+     ;        1073;        1161;        1248;      1856.3;      1856.3
48;29.11.2020;65+     ;        1084;        1172;        1261;      1742.6;      1742.6
49;06.12.2020;65+     ;        1096;        1184;        1273;           .;           .
50;13.12.2020;65+     ;        1105;        1194;        1283;           .;           .
51;20.12.2020;65+     ;        1114;        1203;        1292;           .;           .
52;27.12.2020;65+     ;        1122;        1212;        1302;           .;           .
53;03.01.2021;65+     ;        1131;        1221;        1311;           .;           .
#
# Woche: Kalenderwoche nach ISO 8601
# Endend: letzter Tag der Woche (Sonntag)
# Alter: Alter in vollendeten Jahren
# AnzTF_HR: Anzahl Todesfälle in der Schweiz von Personen mit Wohnsitz in der Schweiz, hochgerechnet für letzte 40 Tage, vorher: registrierte Daten
# Erwartung: Aufgrund der vorangegangenen Jahre in dieser Kalenderwoche normalerweise erwartete Anzahl Todesfälle.
# untGrenze: untere Grenze der 99%-Bandbreite des Erwartungswerts
# obeGrenze: obere Grenze der 99%-Bandbreite des Erwartungswerts
# Exzess: Bei Wochen, in welchen die Anzahl Todesfälle die obere Bandbreite übersteigt, wird die Zahl der Todesfälle wiederholt
#
